"club_name","mostvalue"
"1. FC Köln",93025000
"1. FC Union Berlin",98700000
"1. FSV Mainz 05",86275000
"Bayer 04 Leverkusen",333875000
"Borussia Dortmund",606675000
"Borussia Mönchengladbach",333300000
"DSC Arminia Bielefeld",62425000
"Eintracht Frankfurt",240950000
"FC Augsburg",112825000
"FC Bayern München",951475000
"Hertha BSC",132675000
"RB Leipzig",494200000
"Sport-Club Freiburg",116475000
"SpVgg Greuther Fürth",60875000
"TSG Hoffenheim",199750000
"VfB Stuttgart",135400000
"VfL Bochum 1848",49975000
"VfL Wolfsburg",325225000
