"club_name","mostvalue"
"Arsenal",448950000
"Aston Villa",286150000
"Brentford",112200000
"Brighton & Hove Albion",202550000
"Burnley",158475000
"Chelsea",883275000
"Crystal Palace",180815000
"Everton",390775000
"Leeds United",252700000
"Leicester City",530750000
"Liverpool",955975000
"Manchester City",1193400000
"Manchester United",943825000
"Newcastle United",162800000
"Norwich City",146825000
"Southampton",195325000
"Tottenham Hotspur",681100000
"Watford",136475000
"West Ham United",335325000
"Wolverhampton Wanderers",306305000
