"short_name","overall","potential","value_eur","wage_eur","age","dob","club_name","height_cm","weight_kg","league_name","player_positions","nationality_name","preferred_foot","weak_foot","pace","shooting","passing","dribbling","defending","physic","year","Type"
"L. Messi",93,93,7.8e+07,320000,34,"1987-06-24","Paris Saint-Germain",170,72,"French Ligue 1","RW","Argentina","Left",4,85,92,91,95,34,65,2022,"FRD"
"R. Lewandowski",92,92,119500000,270000,32,"1988-08-21","FC Bayern München",185,81,"German 1. Bundesliga","ST","Poland","Right",4,78,92,79,86,44,82,2022,"FRD"
"Cristiano Ronaldo",91,91,4.5e+07,270000,36,"1985-02-05","Manchester United",187,83,"English Premier League","ST","Portugal","Right",4,87,94,80,88,34,75,2022,"FRD"
"Neymar Jr",91,91,1.29e+08,270000,29,"1992-02-05","Paris Saint-Germain",175,68,"French Ligue 1","LW","Brazil","Right",5,91,83,86,94,37,63,2022,"FRD"
"K. De Bruyne",91,91,125500000,350000,30,"1991-06-28","Manchester City",181,70,"English Premier League","CM","Belgium","Right",5,76,86,93,88,64,78,2022,"MID"
"K. Mbappé",91,95,1.94e+08,230000,22,"1998-12-20","Paris Saint-Germain",182,73,"French Ligue 1","ST","France","Right",4,97,88,80,92,36,77,2022,"FRD"
"H. Kane",90,90,129500000,240000,27,"1993-07-28","Tottenham Hotspur",188,89,"English Premier League","ST","England","Right",5,70,91,83,83,47,83,2022,"FRD"
"N. Kanté",90,90,1e+08,230000,30,"1991-03-29","Chelsea",168,70,"English Premier League","CDM","France","Right",3,78,66,75,82,87,83,2022,"MID"
"K. Benzema",89,89,6.6e+07,350000,33,"1987-12-19","Real Madrid CF",185,81,"Spain Primera Division","CF","France","Right",4,76,86,81,87,39,77,2022,"FRD"
"H. Son",89,89,1.04e+08,220000,28,"1992-07-08","Tottenham Hotspur",183,78,"English Premier League","LM","Korea Republic","Right",5,88,87,82,86,43,69,2022,"MID"
"Casemiro",89,89,8.8e+07,310000,29,"1992-02-23","Real Madrid CF",185,84,"Spain Primera Division","CDM","Brazil","Right",3,65,73,76,73,86,90,2022,"MID"
"V. van Dijk",89,89,8.6e+07,230000,29,"1991-07-08","Liverpool",193,92,"English Premier League","CB","Netherlands","Right",3,78,60,71,72,91,84,2022,"DEF"
"S. Mané",89,89,1.01e+08,270000,29,"1992-04-10","Liverpool",175,69,"English Premier League","LW","Senegal","Right",4,91,83,80,89,44,77,2022,"FRD"
"M. Salah",89,89,1.01e+08,270000,29,"1992-06-15","Liverpool",175,71,"English Premier League","RW","Egypt","Left",3,90,87,81,90,45,75,2022,"FRD"
"J. Kimmich",89,90,1.08e+08,160000,26,"1995-02-08","FC Bayern München",177,75,"German 1. Bundesliga","CDM","Germany","Right",4,70,73,86,84,83,79,2022,"MID"
"Sergio Ramos",88,88,2.4e+07,115000,35,"1986-03-30","Paris Saint-Germain",184,82,"French Ligue 1","CB","Spain","Right",3,70,70,76,74,88,84,2022,"DEF"
"L. Suárez",88,88,44500000,135000,34,"1987-01-24","Atlético de Madrid",182,83,"Spain Primera Division","ST","Uruguay","Right",4,72,90,82,84,47,83,2022,"FRD"
"T. Kroos",88,88,7.5e+07,310000,31,"1990-01-04","Real Madrid CF",183,76,"Spain Primera Division","CM","Germany","Right",5,53,81,91,81,71,68,2022,"MID"
"R. Lukaku",88,88,93500000,260000,28,"1993-05-13","Chelsea",191,94,"English Premier League","ST","Belgium","Left",4,84,87,74,78,39,83,2022,"FRD"
"R. Sterling",88,89,107500000,290000,26,"1994-12-08","Manchester City",170,69,"English Premier League","LW","England","Right",3,91,82,79,87,45,66,2022,"FRD"
"Bruno Fernandes",88,89,107500000,250000,26,"1994-09-08","Manchester United",179,69,"English Premier League","CAM","Portugal","Right",3,75,86,89,84,70,77,2022,"MID"
"E. Haaland",88,93,137500000,110000,20,"2000-07-21","Borussia Dortmund",194,94,"German 1. Bundesliga","ST","Norway","Left",3,89,91,65,80,45,88,2022,"FRD"
"S. Agüero",87,87,5.1e+07,260000,33,"1988-06-02","FC Barcelona",173,70,"Spain Primera Division","ST","Argentina","Right",4,71,89,75,87,33,69,2022,"FRD"
"L. Modric",87,87,3.2e+07,190000,35,"1985-09-09","Real Madrid CF",172,66,"Spain Primera Division","CM","Croatia","Right",4,73,76,89,88,72,66,2022,"MID"
"Á. Di María",87,87,49500000,160000,33,"1988-02-14","Paris Saint-Germain",180,69,"French Ligue 1","RW","Argentina","Left",2,83,81,86,87,48,69,2022,"FRD"
"T. Müller",87,87,6.6e+07,140000,31,"1989-09-13","FC Bayern München",185,76,"German 1. Bundesliga","CAM","Germany","Right",4,67,84,83,80,56,71,2022,"MID"
"C. Immobile",87,87,67500000,125000,31,"1990-02-20","Lazio",185,85,"Italian Serie A","ST","Italy","Right",4,86,87,67,81,39,77,2022,"FRD"
"P. Pogba",87,87,79500000,220000,28,"1993-03-15","Manchester United",191,84,"English Premier League","CM","France","Right",4,71,81,86,86,65,83,2022,"MID"
"M. Verratti",87,87,79500000,155000,28,"1992-11-05","Paris Saint-Germain",165,60,"French Ligue 1","CM","Italy","Right",4,64,61,87,91,79,67,2022,"MID"
"Marquinhos",87,90,90500000,135000,27,"1994-05-14","Paris Saint-Germain",183,75,"French Ligue 1","CB","Brazil","Right",3,81,53,75,74,89,81,2022,"DEF"
"L. Goretzka",87,88,9.3e+07,140000,26,"1995-02-06","FC Bayern München",189,82,"German 1. Bundesliga","CM","Germany","Right",4,81,82,82,84,81,86,2022,"MID"
"P. Dybala",87,88,9.3e+07,160000,27,"1993-11-15","Juventus",177,75,"Italian Serie A","CF","Argentina","Left",3,84,86,86,90,40,60,2022,"FRD"
"A. Robertson",87,88,83500000,175000,27,"1994-03-11","Liverpool",178,64,"English Premier League","LB","Scotland","Left",2,84,61,81,81,82,76,2022,"DEF"
"F. de Jong",87,92,119500000,210000,24,"1997-05-12","FC Barcelona",180,74,"Spain Primera Division","CM","Netherlands","Right",3,81,69,85,88,77,78,2022,"MID"
"T. Alexander-Arnold",87,92,1.14e+08,150000,22,"1998-10-07","Liverpool",180,69,"English Premier League","RB","England","Right",4,79,68,88,80,80,72,2022,"DEF"
"J. Sancho",87,91,116500000,150000,21,"2000-03-25","Manchester United",180,76,"English Premier League","RM","England","Right",3,81,76,82,91,36,65,2022,"MID"
"Rúben Dias",87,91,102500000,170000,24,"1997-05-14","Manchester City",187,82,"English Premier League","CB","Portugal","Right",4,61,38,65,68,88,88,2022,"DEF"
"G. Chiellini",86,86,1.2e+07,88000,36,"1984-08-14","Juventus",187,85,"Italian Serie A","CB","Italy","Left",3,68,46,60,59,89,85,2022,"DEF"
"M. Hummels",86,86,4.4e+07,95000,32,"1988-12-16","Borussia Dortmund",191,96,"German 1. Bundesliga","CB","Germany","Right",3,56,59,77,73,89,77,2022,"DEF"
"Jordi Alba",86,86,4.7e+07,2e+05,32,"1989-03-21","FC Barcelona",170,68,"Spain Primera Division","LB","Spain","Left",3,86,69,81,83,77,71,2022,"DEF"
"Thiago",86,86,6.5e+07,180000,30,"1991-04-11","Liverpool",174,70,"English Premier League","CM","Spain","Right",3,63,72,86,90,70,66,2022,"MID"
"Sergio Busquets",86,86,4.5e+07,2e+05,32,"1988-07-16","FC Barcelona",189,76,"Spain Primera Division","CDM","Spain","Right",3,42,62,79,80,82,75,2022,"MID"
"Parejo",86,86,53500000,64000,32,"1989-04-16","Villarreal CF",182,74,"Spain Primera Division","CM","Spain","Right",4,50,83,90,81,71,69,2022,"MID"
"L. Insigne",86,86,65500000,125000,30,"1991-06-04","Napoli",163,59,"Italian Serie A","LW","Italy","Right",4,87,78,85,90,36,45,2022,"FRD"
"K. Koulibaly",86,86,55500000,105000,30,"1991-06-20","Napoli",187,89,"Italian Serie A","CB","Senegal","Right",3,81,28,51,65,87,85,2022,"DEF"
"R. Varane",86,88,68500000,180000,28,"1993-04-25","Manchester United",191,81,"English Premier League","CB","France","Right",3,82,49,64,65,87,82,2022,"DEF"
"R. Mahrez",86,86,65500000,220000,30,"1991-02-21","Manchester City",179,67,"English Premier League","RW","Algeria","Left",4,81,79,81,90,38,60,2022,"FRD"
"Gerard Moreno",86,86,6.8e+07,73000,29,"1992-04-07","Villarreal CF",180,77,"Spain Primera Division","ST","Spain","Left",4,79,86,77,84,46,73,2022,"FRD"
"J. Vardy",86,86,3.3e+07,180000,34,"1987-01-11","Leicester City",179,74,"English Premier League","ST","England","Right",4,85,84,70,80,52,73,2022,"FRD"
"Fabinho",86,88,73500000,165000,27,"1993-10-23","Liverpool",188,78,"English Premier League","CDM","Brazil","Right",2,67,69,78,78,85,83,2022,"MID"
