"club_name","mostvalue"
"Athletic Club de Bilbao",301025000
"Atlético de Madrid",825300000
"CA Osasuna",187725000
"Cádiz CF",95600000
"Deportivo Alavés",108900000
"Elche CF",101225000
"FC Barcelona",714500000
"Getafe CF",193775000
"Granada CF",225100000
"Levante Unión Deportiva",213875000
"Rayo Vallecano",100225000
"RC Celta de Vigo",187100000
"RCD Espanyol de Barcelona",247575000
"RCD Mallorca",128100000
"Real Betis Balompié",309200000
"Real Madrid CF",893075000
"Real Sociedad",425700000
"Sevilla FC",525450000
"Valencia CF",329275000
"Villarreal CF",465900000
